representative,transaction_date,ticker,asset_description,amount,type
Hon. Michael T. McCaul,2020-11-24,ADBE,ADOBE,"$15,001 - $50,000",sale_full
Hon. Michael T. McCaul,2020-11-02,--,FAYETTEVILLE ARK SALES & USE,"$15,001 - $50,000",sale_full
Hon. Michael T. McCaul,2020-11-30,BDX,BECTON DICKINSON & COMPANY,"$50,001 - $100,000",sale_full
Hon. Michael T. McCaul,2020-11-27,BDX,BECTON DICKINSON & COMPANY,"$50,001 - $100,000",sale_full
Hon. Michael T. McCaul,2020-11-12,ADBE,ADOBE INC,"$50,001 - $100,000",sale_full
Hon. Michael T. McCaul,2020-11-16,--,MEMPHIS TENNESSEE SANITARY SEWER SYSTEM REVENUE,"$50,001 - $100,000",sale_full
Hon. Michael T. McCaul,2020-11-02,--,SCOTTSBORO ALA,"$50,001 - $100,000",sale_full
Hon. Michael T. McCaul,2020-11-02,--,CALIFORNIA ST,"$250,001 - $500,000",sale_full
Hon. Michael T. McCaul,2020-11-20,--,WEST FARGO N D,"$100,001 - $250,000",purchase
Hon. Michael T. McCaul,2020-11-08,--,NEW YORK ST HSG FIN AGY REV,"$100,001 - $250,000",purchase
Hon. Michael T. McCaul,2020-11-12,--,NEUROCRINE BIOSCIENCES INC,"$50,001 - $100,000",purchase
Hon. Michael T. McCaul,2020-11-12,GPN,GLOBAL PAYMENTS,"$50,001 - $100,000",purchase
Hon. Michael T. McCaul,2020-11-25,FTNT,FORTINET INC,"$50,001 - $100,000",purchase
Hon. Michael T. McCaul,2020-11-27,FTNT,FORTINET INC,"$15,001 - $50,000",purchase
Hon. Michael T. McCaul,2020-11-27,BSX,BOSTON SCIENTIFIC CORPORATION,"$15,001 - $50,000",purchase
Hon. Michael T. McCaul,2020-11-24,FTNT,FORTINET INC,"$15,001 - $50,000",purchase
Hon. Michael T. McCaul,2020-11-18,MCRN,MICRON TECHNOLOGY INC,"$15,001 - $50,000",purchase
Hon. Michael T. McCaul,2020-11-18,CMCSA,COMCAST CORPORATION,"$15,001 - $50,000",purchase
Hon. Michael T. McCaul,2020-11-04,CMCSA,COMCAST CORPORATION,"$1,001 - $15,000",purchase
Hon. Michael T. McCaul,2020-11-03,MCRN,MICRON TECHNOLOGY INC,"$1,001 - $15,000",purchase
Hon. Michael T. McCaul,2020-11-18,AIT,APPLIED INDUSTRIAL TECHNOLOGIES,"$1,001 - $15,000",purchase
Hon. Michael T. McCaul,2020-11-03,MCRN,MICRON TECHNOLOGY INC,"$1,001 - $15,000",purchase
Hon. Michael T. McCaul,2020-11-18,PLXS,PLEXUS CORPORATION,"$1,001 - $15,000",purchase
Hon. Michael T. McCaul,2020-11-18,NVT,NVENT ELECTRIC,"$1,001 - $15,000",purchase
Hon. Michael T. McCaul,2020-11-18,FCFS,FIRSTCASH INC,"$1,001 - $15,000",purchase
Hon. Michael T. McCaul,2020-11-02,--,OHIO HSG FIN AGY SINGLE FAMILY,"$1,001 - $15,000",sale_full
Hon. Michael T. McCaul,2020-11-02,--,ALAMO TEXAS COMMUNITY COLLEGE DISTRICT R,"$1,001 - $15,000",sale_full
Hon. Michael T. McCaul,2020-11-18,HON,HONEYWELL INTERNATIONAL INC,"$1,001 - $15,000",sale_full
Hon. Michael T. McCaul,2020-11-18,WWD,WOODWARD INC,"$1,001 - $15,000",sale_full
Hon. Michael T. McCaul,2020-11-04,ACN,ACCENTURE PLC,"$1,001 - $15,000",purchase
Hon. Michael T. McCaul,2020-11-18,BKNG,BOOKING HOLDINGS INC,"$15,001 - $50,000",sale_full
Hon. Michael T. McCaul,2020-11-04,--,EXPENDITORS INTERNATIONAL WASHINGTON INC,"$15,001 - $50,000",sale_full
Hon. Michael T. McCaul,2020-11-18,AVY,AVERY DENISON COMPANY,"$15,001 - $50,000",sale_full
Hon. Michael T. McCaul,2020-11-25,ZTS,ZOETIS INC,"$15,001 - $50,000",sale_full
Hon. Michael T. McCaul,2020-11-12,EPAM,EPAM SYSTEM INC,"$15,001 - $50,000",sale_full
Hon. Michael T. McCaul,2020-11-24,ADBE,ADOBE INC,"$15,001 - $50,000",sale_full
Hon. Michael T. McCaul,2020-11-30,BDX,BECTON DICKINSON & COMPANY,"$50,001 - $100,000",sale_full
Hon. Michael T. McCaul,2020-11-02,--,FAYETTEVILLE ARK ALES & USE T,"$50,001 - $100,000",sale_full
Hon. Michael T. McCaul,2020-11-27,BDX,BECTON DICKINSON & COMPANY,"$50,001 - $100,000",sale_full
Hon. Michael T. McCaul,2020-11-12,ADBE,ADOBE INC,"$50,001 - $100,000",sale_full
Hon. Michael T. McCaul,2020-11-16,--,MEMPHIS TENN SAN SEW SYS REV,"$100,001 - $250,000",sale_full
Hon. Michael T. McCaul,2020-11-02,--,SCOTTSBORO ALA,"$100,001 - $250,000",sale_full
Hon. Michael T. McCaul,2020-11-02,--,CALIFORNIA ST,"$500,001 - $1,000,000",purchase
Hon. Michael T. McCaul,2020-11-19,MUR,MURPHY OIL,"$100,001 - $250,000",purchase
Hon. Michael T. McCaul,2020-11-04,CW,CURTISS-WRIGHT CORPORATION,"$50,001 - $100,000",purchase
Hon. Michael T. McCaul,2020-11-13,MRK,MERCK& COMPANY INC,"$50,001 - $100,000",purchase
Hon. Michael T. McCaul,2020-11-02,CW,CURTISS-WRIGHT CORP,"$50,001 - $100,000",purchase
