disclosure_year,disclosure_date,transaction_date,owner,ticker,asset_description,type,amount,representative,district,ptr_link,cap_gains_over_200_usd,date_x,trans_price,date_y,current_price
2022,02/18/2022,2022-01-25,joint,MSFT,Microsoft Corporation - Call Options $145 strike Expire 09/16/2022,purchase,"$50,001 - $100,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020393.pdf,False,2022-01-25,287.2257385253906,2022-06-09,270.4100036621094
2021,09/08/2021,2021-08-30,,MSFT,Microsoft Corporation,sale_full,"$15,001 - $50,000",Hon. Kurt Schrader,OR05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218328.pdf,False,2021-08-30,301.7076110839844,2022-06-09,270.4100036621094
2021,09/08/2021,2021-08-11,,MSFT,Microsoft Corporation,sale_full,"$1,001 - $15,000",Hon. Kurt Schrader,OR05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218328.pdf,False,2021-08-11,284.62591552734375,2022-06-09,270.4100036621094
2021,07/15/2021,2021-06-22,joint,MSFT,Microsoft Corporation,purchase,"$50,001 - $100,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019076.pdf,False,2021-06-22,263.3595275878906,2022-06-09,270.4100036621094
2021,07/15/2021,2021-06-22,joint,MSFT,Microsoft Corporation,sale_full,"$15,001 - $50,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019076.pdf,False,2021-06-22,263.3595275878906,2022-06-09,270.4100036621094
2021,07/15/2021,2021-06-22,joint,MSFT,Microsoft Corporation,sale_full,"$15,001 - $50,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019076.pdf,False,2021-06-22,263.3595275878906,2022-06-09,270.4100036621094
2022,03/18/2022,2022-02-10,joint,MSFT,Microsoft Corporation - Call Option Strike $160 - expiry 1/20/2023,sale_full,"$500,001 - $1,000,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020573.pdf,False,2022-02-10,301.05487060546875,2022-06-09,270.4100036621094
2022,03/18/2022,2022-02-10,joint,MSFT,Microsoft Corporation - Call Option Strike $155 - expiry 1/20/2023,sale_full,"$250,001 - $500,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020573.pdf,False,2022-02-10,301.05487060546875,2022-06-09,270.4100036621094
2022,03/18/2022,2022-02-10,joint,MSFT,Microsoft Corporation - Call Option Strike $150 - expiry 1/20/2023,sale_full,"$1,000,001 - $5,000,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020573.pdf,False,2022-02-10,301.05487060546875,2022-06-09,270.4100036621094
2022,03/18/2022,2022-02-10,joint,MSFT,Microsoft Corporation - Call Option Strike $145 - expiry 1/20/2023,sale_full,"$250,001 - $500,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020573.pdf,False,2022-02-10,301.05487060546875,2022-06-09,270.4100036621094
2022,03/18/2022,2022-02-10,joint,MSFT,Microsoft Corporation - Call Option Strike $160 - expiry 9/16/2022,purchase,"$500,001 - $1,000,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020573.pdf,False,2022-02-10,301.05487060546875,2022-06-09,270.4100036621094
2022,03/18/2022,2022-02-10,joint,MSFT,Microsoft Corporation - Call Option Strike $150 - expiry 9/16/2022,purchase,"$1,000,001 - $5,000,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020573.pdf,False,2022-02-10,301.05487060546875,2022-06-09,270.4100036621094
2022,03/18/2022,2022-02-10,joint,MSFT,Microsoft Corporation - Call Option Strike $145 - expiry 9/16/2022,purchase,"$500,001 - $1,000,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020573.pdf,False,2022-02-10,301.05487060546875,2022-06-09,270.4100036621094
