disclosure_year,disclosure_date,transaction_date,owner,ticker,asset_description,type,amount,representative,district,ptr_link,cap_gains_over_200_usd,date_x,trans_price,date_y,current_price
2020,08/03/2020,2020-07-13,self,RUN,Sunrun Inc.,sale_partial,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017076.pdf,False,2020-07-13,30.09000015258789,2022-06-09,27.6299991607666
2020,07/24/2020,2020-07-13,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017024.pdf,False,2020-07-13,30.09000015258789,2022-06-09,27.6299991607666
2020,07/24/2020,2020-07-13,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017024.pdf,False,2020-07-13,30.09000015258789,2022-06-09,27.6299991607666
2020,07/24/2020,2020-07-13,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017024.pdf,False,2020-07-13,30.09000015258789,2022-06-09,27.6299991607666
2020,07/24/2020,2020-07-13,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017024.pdf,False,2020-07-13,30.09000015258789,2022-06-09,27.6299991607666
2020,07/24/2020,2020-07-13,self,RUN,Sunrun Inc.,sale_partial,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017025.pdf,False,2020-07-13,30.09000015258789,2022-06-09,27.6299991607666
2020,07/24/2020,2020-07-13,self,RUN,Sunrun Inc.,sale_partial,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017025.pdf,False,2020-07-13,30.09000015258789,2022-06-09,27.6299991607666
2020,07/24/2020,2020-07-13,self,RUN,Sunrun Inc.,sale_partial,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017025.pdf,False,2020-07-13,30.09000015258789,2022-06-09,27.6299991607666
2020,07/24/2020,2020-07-13,self,RUN,Sunrun Inc.,sale_partial,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017025.pdf,False,2020-07-13,30.09000015258789,2022-06-09,27.6299991607666
2020,07/15/2020,2020-06-23,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016958.pdf,False,2020-06-23,19.739999771118164,2022-06-09,27.6299991607666
2020,07/15/2020,2020-06-23,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016958.pdf,False,2020-06-23,19.739999771118164,2022-06-09,27.6299991607666
2020,07/15/2020,2020-06-23,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016959.pdf,False,2020-06-23,19.739999771118164,2022-06-09,27.6299991607666
2020,07/15/2020,2020-06-23,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016959.pdf,False,2020-06-23,19.739999771118164,2022-06-09,27.6299991607666
2020,07/02/2020,2020-06-23,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016875.pdf,False,2020-06-23,19.739999771118164,2022-06-09,27.6299991607666
2020,07/02/2020,2020-06-23,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016876.pdf,True,2020-06-23,19.739999771118164,2022-06-09,27.6299991607666
2020,07/15/2020,2020-07-02,self,RUN,Sunrun Inc.,sale_partial,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016958.pdf,False,2020-07-02,20.0,2022-06-09,27.6299991607666
2020,07/15/2020,2020-07-02,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016958.pdf,False,2020-07-02,20.0,2022-06-09,27.6299991607666
2020,07/15/2020,2020-07-02,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016959.pdf,False,2020-07-02,20.0,2022-06-09,27.6299991607666
2020,07/20/2020,2020-07-02,self,RUN,Sunrun Inc.,sale_partial,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016994.pdf,False,2020-07-02,20.0,2022-06-09,27.6299991607666
2020,07/20/2020,2020-07-02,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016994.pdf,False,2020-07-02,20.0,2022-06-09,27.6299991607666
2020,07/20/2020,2020-07-02,self,RUN,Sunrun Inc.,sale_partial,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016994.pdf,False,2020-07-02,20.0,2022-06-09,27.6299991607666
2020,07/20/2020,2020-07-02,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016995.pdf,False,2020-07-02,20.0,2022-06-09,27.6299991607666
2020,07/20/2020,2020-07-02,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016995.pdf,False,2020-07-02,20.0,2022-06-09,27.6299991607666
2020,07/15/2020,2020-07-01,self,RUN,Sunrun Inc.,sale_partial,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016958.pdf,False,2020-07-01,19.84000015258789,2022-06-09,27.6299991607666
2020,07/15/2020,2020-07-01,self,RUN,Sunrun Inc.,sale_partial,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016958.pdf,False,2020-07-01,19.84000015258789,2022-06-09,27.6299991607666
2020,07/15/2020,2020-07-01,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016959.pdf,False,2020-07-01,19.84000015258789,2022-06-09,27.6299991607666
2020,07/15/2020,2020-07-01,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016959.pdf,False,2020-07-01,19.84000015258789,2022-06-09,27.6299991607666
2020,07/15/2020,2020-07-01,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016959.pdf,False,2020-07-01,19.84000015258789,2022-06-09,27.6299991607666
2020,07/08/2020,2020-07-01,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016912.pdf,False,2020-07-01,19.84000015258789,2022-06-09,27.6299991607666
2020,07/08/2020,2020-07-01,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016912.pdf,False,2020-07-01,19.84000015258789,2022-06-09,27.6299991607666
2020,07/08/2020,2020-07-01,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016914.pdf,True,2020-07-01,19.84000015258789,2022-06-09,27.6299991607666
2020,07/20/2020,2020-06-22,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016994.pdf,False,2020-06-22,19.969999313354492,2022-06-09,27.6299991607666
2020,07/20/2020,2020-06-22,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016994.pdf,False,2020-06-22,19.969999313354492,2022-06-09,27.6299991607666
2020,07/20/2020,2020-06-22,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016995.pdf,False,2020-06-22,19.969999313354492,2022-06-09,27.6299991607666
2020,07/20/2020,2020-06-22,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016995.pdf,False,2020-06-22,19.969999313354492,2022-06-09,27.6299991607666
2020,07/02/2020,2020-06-22,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016875.pdf,False,2020-06-22,19.969999313354492,2022-06-09,27.6299991607666
2020,07/02/2020,2020-06-22,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016876.pdf,True,2020-06-22,19.969999313354492,2022-06-09,27.6299991607666
2020,03/24/2020,2020-03-19,self,RUN,Sunrun Inc.,purchase,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016296.pdf,False,2020-03-19,9.109999656677246,2022-06-09,27.6299991607666
2020,03/24/2020,2020-03-19,self,RUN,Sunrun Inc.,purchase,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016297.pdf,False,2020-03-19,9.109999656677246,2022-06-09,27.6299991607666
2020,03/24/2020,2020-03-17,self,RUN,Sunrun Inc.,purchase,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016296.pdf,False,2020-03-17,9.920000076293944,2022-06-09,27.6299991607666
2020,03/24/2020,2020-03-17,self,RUN,Sunrun Inc.,purchase,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016297.pdf,False,2020-03-17,9.920000076293944,2022-06-09,27.6299991607666
2020,03/24/2020,2020-03-18,self,RUN,Sunrun Inc.,purchase,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016296.pdf,False,2020-03-18,8.899999618530273,2022-06-09,27.6299991607666
2020,03/24/2020,2020-03-18,self,RUN,Sunrun Inc.,purchase,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016297.pdf,False,2020-03-18,8.899999618530273,2022-06-09,27.6299991607666
2020,09/04/2020,2020-08-25,self,RUN,Sunrun Inc.,sale_partial,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017306.pdf,False,2020-08-25,50.790000915527344,2022-06-09,27.6299991607666
2020,09/04/2020,2020-08-25,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017307.pdf,False,2020-08-25,50.790000915527344,2022-06-09,27.6299991607666
2020,09/04/2020,2020-08-26,self,RUN,Sunrun Inc.,sale_partial,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017306.pdf,False,2020-08-26,50.029998779296875,2022-06-09,27.6299991607666
2020,09/04/2020,2020-08-26,self,RUN,Sunrun Inc.,sale_partial,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017306.pdf,False,2020-08-26,50.029998779296875,2022-06-09,27.6299991607666
2020,09/04/2020,2020-08-26,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017307.pdf,False,2020-08-26,50.029998779296875,2022-06-09,27.6299991607666
2020,09/04/2020,2020-08-26,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017307.pdf,False,2020-08-26,50.029998779296875,2022-06-09,27.6299991607666
2020,07/08/2020,2020-06-19,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016912.pdf,False,2020-06-19,19.895000457763672,2022-06-09,27.6299991607666
2020,07/08/2020,2020-06-19,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016912.pdf,False,2020-06-19,19.895000457763672,2022-06-09,27.6299991607666
2020,07/08/2020,2020-06-19,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016912.pdf,False,2020-06-19,19.895000457763672,2022-06-09,27.6299991607666
2020,07/08/2020,2020-06-19,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016912.pdf,False,2020-06-19,19.895000457763672,2022-06-09,27.6299991607666
2020,07/08/2020,2020-06-19,self,RUN,Sunrun Inc.,sale_partial,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016914.pdf,True,2020-06-19,19.895000457763672,2022-06-09,27.6299991607666
2020,07/08/2020,2020-06-19,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016914.pdf,True,2020-06-19,19.895000457763672,2022-06-09,27.6299991607666
2020,07/08/2020,2020-06-19,self,RUN,Sunrun Inc.,sale_partial,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016914.pdf,True,2020-06-19,19.895000457763672,2022-06-09,27.6299991607666
2020,07/08/2020,2020-06-19,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016914.pdf,True,2020-06-19,19.895000457763672,2022-06-09,27.6299991607666
2020,06/29/2020,2020-06-19,self,RUN,Sunrun Inc.,sale_partial,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016852.pdf,False,2020-06-19,19.895000457763672,2022-06-09,27.6299991607666
2020,06/29/2020,2020-06-19,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016852.pdf,False,2020-06-19,19.895000457763672,2022-06-09,27.6299991607666
2020,06/29/2020,2020-06-19,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016853.pdf,False,2020-06-19,19.895000457763672,2022-06-09,27.6299991607666
2020,06/29/2020,2020-06-19,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016853.pdf,False,2020-06-19,19.895000457763672,2022-06-09,27.6299991607666
2020,06/29/2020,2020-06-18,self,RUN,Sunrun Inc.,sale_partial,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016852.pdf,False,2020-06-18,19.799999237060547,2022-06-09,27.6299991607666
2020,06/29/2020,2020-06-18,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016853.pdf,False,2020-06-18,19.799999237060547,2022-06-09,27.6299991607666
2022,01/27/2022,2022-01-14,joint,RUN,Sunrun Inc,purchase,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020322.pdf,False,2022-01-14,31.809999465942383,2022-06-09,27.6299991607666
2020,11/21/2020,2020-11-12,self,RUN,Sunrun Inc.,purchase,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017730.pdf,False,2020-11-12,53.380001068115234,2022-06-09,27.6299991607666
2020,10/15/2020,2020-10-02,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017532.pdf,False,2020-10-02,76.44999694824219,2022-06-09,27.6299991607666
2020,10/15/2020,2020-10-02,self,RUN,Sunrun Inc.,sale_partial,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017533.pdf,True,2020-10-02,76.44999694824219,2022-06-09,27.6299991607666
2020,10/15/2020,2020-10-07,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017532.pdf,False,2020-10-07,78.05000305175781,2022-06-09,27.6299991607666
2020,10/15/2020,2020-10-07,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017532.pdf,False,2020-10-07,78.05000305175781,2022-06-09,27.6299991607666
2020,10/15/2020,2020-10-07,self,RUN,Sunrun Inc.,sale_partial,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017533.pdf,True,2020-10-07,78.05000305175781,2022-06-09,27.6299991607666
2020,10/15/2020,2020-10-07,self,RUN,Sunrun Inc.,sale_partial,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017533.pdf,True,2020-10-07,78.05000305175781,2022-06-09,27.6299991607666
2020,10/15/2020,2020-10-06,self,RUN,Sunrun Inc.,sale_partial,"$1,001 -",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017533.pdf,True,2020-10-06,78.56999969482422,2022-06-09,27.6299991607666
2020,09/11/2020,2020-08-10,,NTAP,"NetApp, Inc.",purchase,"$1,001 - $15,000",Hon. Dean Phillips,MN03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017340.pdf,False,2020-08-10,42.19184875488281,2022-06-09,70.08000183105469
2020,05/09/2020,2020-04-27,joint,AMZN,"Amazon.com, Inc.",sale_full,"$1,001 - $15,000",Hon. Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016572.pdf,False,2020-04-27,118.8000030517578,2022-06-09,121.18000030517578
2020,10/09/2020,2020-09-23,,AMZN,"Amazon.com, Inc.",purchase,"$1,001 - $15,000",Hon. Dean Phillips,MN03,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017490.pdf,False,2020-09-23,149.9929962158203,2022-06-09,121.18000030517578
2020,03/16/2020,2020-02-26,,AMZN,"Amazon.com, Inc.",purchase,"$15,001 - $50,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016181.pdf,False,2020-02-26,98.97949981689452,2022-06-09,121.18000030517578
2020,04/16/2020,2020-03-26,joint,AMZN,"Amazon.com, Inc.",purchase,"$100,001 - $250,000",Hon. Kevin Hern,OK01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016419.pdf,False,2020-03-26,97.77449798583984,2022-06-09,121.18000030517578
2020,12/15/2020,2020-11-19,,AMZN,Amazon,purchase,"$15,001 - $50,000",Hon. Gilbert Cisneros,CA39,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017860.pdf,False,2020-11-19,155.8509979248047,2022-06-09,121.18000030517578
2020,05/31/2020,2020-05-01,joint,AMZN,"Amazon.com, Inc.",sale_full,"$1,001 - $15,000",Hon. Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016686.pdf,False,2020-05-01,114.302001953125,2022-06-09,121.18000030517578
2020,11/05/2020,2020-10-29,,AMZN,"Amazon.com, Inc.",purchase,"$15,001 - $50,000",Hon. Gilbert Cisneros,CA39,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017632.pdf,False,2020-10-29,160.55050659179688,2022-06-09,121.18000030517578
2020,02/22/2020,2020-01-10,joint,AMZN,"Amazon.com, Inc.",purchase,"$1,001 - $15,000",Hon. Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016099.pdf,False,2020-01-10,94.15799713134766,2022-06-09,121.18000030517578
2020,02/22/2020,2020-02-19,joint,AMZN,"Amazon.com, Inc.",purchase,"$1,001 - $15,000",Hon. Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016101.pdf,False,2020-02-19,108.51100158691406,2022-06-09,121.18000030517578
2020,04/11/2020,2020-03-17,,AMZN,"Amazon.com, Inc.",purchase,"$15,001 - $50,000",Hon. Josh Gottheimer,NJ05,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016373.pdf,False,2020-03-17,90.39199829101562,2022-06-09,121.18000030517578
2020,08/09/2020,2020-07-14,joint,AMZN,"Amazon.com, Inc.",sale_full,"$15,001 - $50,000",Hon. Donald Sternoff Beyer,VA08,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017058.pdf,False,2020-07-14,154.1999969482422,2022-06-09,121.18000030517578
2021,03/30/2021,2021-02-05,self,AMZN,Amazon Inc,purchase,"$50,001 - $100,000",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217912.pdf,False,2021-02-05,167.6074981689453,2022-06-09,121.18000030517578
2021,03/30/2021,2021-02-05,dependent,AMZN,AMAZON INC,purchase,"$50,001 - $100,000",Hon. Michael T. McCaul,TX10,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217912.pdf,False,2021-02-05,167.6074981689453,2022-06-09,121.18000030517578
2020,02/11/2020,2020-01-16,self,AMZN,"Amazon.com, Inc. / Exercised 30 call options (3,000 shares) expiring 1/17/2020 at a strike price of $1600.",purchase,"$1,000,001 - $5,000,000",Hon. Nancy Pelosi,CA12,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20015042.pdf,False,2020-01-16,93.89700317382812,2022-06-09,121.18000030517578
2020,02/11/2020,2020-01-16,self,AMZN,"Amazon.com, Inc. / Sold 20 call options with a strike price of $1,700 and an expiration date of 1/17/20.",sale_full,"$250,001 - $500,000",Hon. Nancy Pelosi,CA12,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20015042.pdf,False,2020-01-16,93.89700317382812,2022-06-09,121.18000030517578
2020,02/11/2020,2020-01-16,self,AMZN,"Amazon.com, Inc. / Sold 20 call options with a strike price of $1,600 and an expiration date of 1/17/20.",sale_full,"$250,001 - $500,000",Hon. Nancy Pelosi,CA12,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20015042.pdf,False,2020-01-16,93.89700317382812,2022-06-09,121.18000030517578
2020,03/22/2020,2020-03-16,self,AMZN,"Amazon.com, Inc.",purchase,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016280.pdf,False,2020-03-16,84.4574966430664,2022-06-09,121.18000030517578
2020,03/22/2020,2020-03-16,self,AMZN,"Amazon.com, Inc.",purchase,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016281.pdf,False,2020-03-16,84.4574966430664,2022-06-09,121.18000030517578
2020,09/15/2020,2020-09-03,self,AMZN,"Amazon.com, Inc.",sale_full,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017376.pdf,True,2020-09-03,168.39999389648438,2022-06-09,121.18000030517578
2020,09/15/2020,2020-09-03,self,AMZN,"Amazon.com, Inc.",sale_partial,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017378.pdf,False,2020-09-03,168.39999389648438,2022-06-09,121.18000030517578
2021,01/11/2021,2020-12-31,,AMZN,"Amazon.com, Inc. (U.S. Trust Holdings)",purchase,"$1,001 - $15,000",Hon. Gilbert Cisneros,CA39,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20017992.pdf,False,2020-12-31,162.84649658203125,2022-06-09,121.18000030517578
2020,07/24/2020,2020-07-10,self,AMZN,"Amazon.com, Inc.",sale_partial,"$1,001 - $15,000",Hon. Alan S. Lowenthal,CA47,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017025.pdf,False,2020-07-10,160.0,2022-06-09,121.18000030517578
2020,08/15/2020,2020-07-27,joint,AMZN,"Amazon.com, Inc.",purchase,"$1,001 - $15,000",Hon. Kevin Hern,OK01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017192.pdf,False,2020-07-27,152.760498046875,2022-06-09,121.18000030517578
2021,09/15/2021,2021-07-30,joint,AMZN,Amazon.com Inc,purchase,"$50,001 - $100,000",Hon. Kevin Hern,OK01,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019334.pdf,False,2021-07-30,166.37950134277344,2022-06-09,121.18000030517578
